time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
261,839,107,219136,0.023665233903739136,0.4252311,0.220751953125,1060,0.07514478266239166,0.2,0.10878106,0.011950430621800479,-0.45110271954908965,0.0003
263,839,108,221184,-0.015476739394216565,0.9619511,0.194287109375,1070,-0.02397501841187477,0.2,0.020316318,0.008722948546346743,-0.598909717425704,0.0003
265,839,109,223232,-0.007087974897876848,0.93502235,0.182080078125,1080,0.018655337393283844,0.2,0.025399264,0.006839183935517213,-0.6328378902748227,0.0003
268,839,110,225280,-0.029881446024228354,0.8267378,0.22822265625,1090,-0.02980317361652851,0.2,0.028479313,0.015236279013333843,-0.4686735448427498,0.0003
270,839,111,227328,-0.016691023176827004,0.92147815,0.21201171875,1100,0.008422729559242725,0.2,0.044751327,0.013401432563841808,-0.5908622073009611,0.0003
273,839,112,229376,-0.008805841299181338,0.9102659,0.27421875,1110,-0.06068626418709755,0.2,0.074956015,0.006535238827200374,-0.6676181580871343,0.0003
275,839,113,231424,-0.04304988376825349,0.79453546,0.30615234375,1120,-0.00018359022215008736,0.2,0.048697673,0.013576784206088632,-0.5509851039387286,0.0003
278,838,114,233472,-0.02189828637347091,0.79849553,0.23037109375,1130,-0.011831787414848804,0.2,0.03614129,0.013807978961267509,-0.5703456351533532,0.0003
281,837,115,235520,-0.008671784719626884,0.8950275,0.182177734375,1140,-0.01580938883125782,0.2,0.020597788,0.011547647300176322,-0.5532858579419553,0.0003
283,837,116,237568,-0.006322344635555055,0.9073484,0.147216796875,1150,0.014030415564775467,0.2,0.032127038,0.01345951852563303,-0.48338206484913826,0.0003
286,837,117,239616,-0.0374433853168739,-0.29203236,0.390966796875,1160,-0.09044793993234634,0.2,0.11699574,0.007232858650240814,-0.42088845507241784,0.0003
288,837,118,241664,-0.02222577569045825,0.77740175,0.2447265625,1170,-0.04126487672328949,0.2,0.04200875,0.013400921283755451,-0.4981016330420971,0.0003
290,837,119,243712,-0.01583866409782786,0.7499109,0.23564453125,1180,-0.06722020357847214,0.2,0.03926354,0.010451808127982076,-0.5070767216384411,0.0003
293,837,120,245760,-0.013370515624410472,0.8847071,0.336669921875,1190,-0.04955450817942619,0.2,0.107911885,0.008693377603776753,-0.531307975947857,0.0003
295,838,121,247808,-0.012155448354315012,0.89248097,0.218310546875,1200,-0.02259761467576027,0.2,0.02359784,0.008701445572660305,-0.6902608314529062,0.0003
298,838,122,249856,-0.017058200687461066,0.8493676,0.289794921875,1210,-0.0792464166879654,0.2,0.042970516,0.006945745433040429,-0.6845026714727283,0.0003
300,838,123,251904,-0.00717552774149226,0.8619358,0.168798828125,1220,-0.015807632356882095,0.2,0.029220957,0.010198707757808734,-0.5423704558983445,0.0003
302,838,124,253952,-0.026754244323819877,0.89324576,0.285546875,1230,-0.05190879479050636,0.2,0.038790487,0.009628486390283797,-0.7902868753299117,0.0003
305,838,125,256000,-0.01935442421672633,0.9293243,0.236962890625,1240,-0.039329905062913895,0.2,0.041517362,0.011430855478101876,-0.6169365742243826,0.0003
307,838,126,258048,-0.009227254123834428,0.97398895,0.189599609375,1250,-0.03317524492740631,0.2,0.021320852,0.006305745989084244,-0.8719197249040007,0.0003
310,838,127,260096,-0.02199106458283495,0.8442764,0.22197265625,1260,-0.02567877061665058,0.2,0.06423941,0.011578286241274327,-0.46588137755170467,0.0003
312,838,128,262144,-0.012038715000380762,0.9619435,0.196435546875,1270,-0.041010912507772446,0.2,0.029553195,0.009215700798085891,-0.7925208587199449,0.0003
314,838,129,264192,-0.02941585888911504,0.38949728,0.281103515625,1280,-0.038867074996232986,0.2,0.04132023,0.012929032542160712,-0.5488291162997484,0.0003
317,838,130,266240,-0.017620193885522894,0.2858892,0.1951171875,1290,-0.016676077619194984,0.2,0.03264819,0.016714047171990386,-0.43099949331954124,0.0003
319,838,131,268288,-0.015819885933888146,0.95951223,0.22861328125,1300,-0.056497227400541306,0.2,0.026296085,0.007179870654363185,-0.7502497989684344,0.0003
322,838,132,270336,-0.011061474178859498,0.93382174,0.18037109375,1310,-0.03733084350824356,0.2,0.024522532,0.013245114477467724,-0.6566269190050662,0.0003
324,838,133,272384,-0.0074630223269196,0.9343071,0.1720703125,1320,-0.028979022055864334,0.2,0.019238116,0.00988913335459074,-0.5725680547766387,0.0003
327,838,134,274432,-0.02181274620379554,0.8415032,0.3314453125,1330,-0.007283216342329979,0.2,0.076861635,0.009170024666673271,-0.5059018642641604,0.0003
329,838,135,276480,-0.008928772310900968,0.97450614,0.22744140625,1340,-0.022922109812498093,0.2,0.024351437,0.007614855258725584,-0.9380068501457572,0.0003
332,838,136,278528,-0.008646626735571771,0.8224255,0.287646484375,1350,-0.06480949372053146,0.2,0.06705607,0.006455046831979417,-0.7150431314483285,0.0003
334,838,137,280576,-0.01699200533912517,0.6389694,0.206103515625,1360,-0.014633158221840858,0.2,0.053038634,0.014308193491888232,-0.45485155284404755,0.0003
